Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
5,4294967295,1,47,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1775885424228162.176	,3.021,0,0,0,NO,N/A,N/A,N/A,"""1,4096""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4294967295,21,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235387.186	,3.521,44.449000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.988,9862,0.035,0.012,0.605,0.203,0.405,0.135,0.157,0.053,0.132,0.000
5,4294967295,24,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235439.597	,3.581,48.729000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.035,10016,0.035,0.012,0.641,0.211,0.417,0.137,0.155,0.051,0.132,0.000
5,4294967295,27,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235498.510	,3.561,55.419000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.003,9909,0.035,0.012,0.616,0.205,0.405,0.135,0.154,0.051,0.14,0.000
5,4294967295,30,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235558.263	,4.061,56.189000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.482,11490,0.035,0.01,0.69,0.198,0.511,0.147,0.162,0.046,0.132,0.000
5,4294967295,33,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235616.736	,3.741,54.439000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.134,10342,0.035,0.011,0.62,0.198,0.439,0.14,0.17,0.054,0.129,0.000
5,4294967295,36,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235681.171	,3.540,60.759000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,10031,0.035,0.012,0.66,0.217,0.413,0.136,0.159,0.052,0.136,0.000
5,4294967295,39,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235737.063	,3.601,52.210000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071,10135,0.035,0.011,0.664,0.216,0.402,0.131,0.158,0.051,0.144,0.000
5,4294967295,42,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235798.916	,3.301,58.399000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.716,8964,0.035,0.013,0.623,0.229,0.425,0.156,0.155,0.057,0.146,0.000
5,4294967295,45,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235857.049	,1.881,54.699000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,4229,0.035,0.027,0.404,0.315,0.251,0.196,0.159,0.124,0.188,0.000
5,4294967295,48,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235917.102	,1.641,58.119000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.083,3574,0.035,0.032,0.233,0.215,0.254,0.235,0.154,0.142,0.176,0.000
5,4294967295,51,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424235986.278	,1.660,67.609000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097,3620,0.035,0.032,0.239,0.218,0.244,0.222,0.148,0.135,0.182,0.000
5,4294967295,54,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424236039.969	,1.741,52.090000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.132,3735,0.035,0.031,0.243,0.214,0.247,0.218,0.149,0.132,0.162,0.000
5,4294967295,57,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424236104.844	,1.360,63.009000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,2458,0.035,0.047,0.273,0.367,0.253,0.34,0.155,0.207,0.0,0.000
5,4294967295,60,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424236161.036	,1.340,54.890000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754,2488,0.035,0.047,0.278,0.369,0.264,0.35,0.16,0.212,0.0,0.000
5,4294967295,63,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424236219.889	,1.280,57.660000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742,2449,0.035,0.047,0.27,0.363,0.263,0.354,0.154,0.207,0.0,0.000
5,4294967295,66,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424236308.429	,1.280,87.220000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,2381,0.035,0.049,0.266,0.369,0.248,0.344,0.148,0.205,0.0,0.000
