Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2347,1.239,1775810567711278.626	,1775810567711279.866	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2348,90.898,1775810567711279.886	,1775810567711370.784	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2349,1.219,1775810567711370.804	,1775810567711372.024	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2350,1.140,1775810567711372.044	,1775810567711373.184	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2351,91.078,1775810567711373.204	,1775810567711464.282	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2352,1.179,1775810567711464.302	,1775810567711465.482	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2353,1.200,1775810567711465.502	,1775810567711466.702	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2354,90.498,1775810567711466.742	,1775810567711557.240	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2355,1.179,1775810567711557.280	,1775810567711558.460	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2356,1.199,1775810567711558.500	,1775810567711559.700	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2357,90.638,1775810567711559.720	,1775810567711650.358	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2358,1.180,1775810567711650.378	,1775810567711651.558	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2359,1.059,1775810567711651.578	,1775810567711652.638	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2360,90.418,1775810567711652.658	,1775810567711743.077	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2361,1.139,1775810567711743.097	,1775810567711744.237	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2362,1.160,1775810567711744.257	,1775810567711745.417	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2363,90.698,1775810567711745.437	,1775810567711836.135	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2364,1.179,1775810567711836.155	,1775810567711837.335	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2365,1.120,1775810567711837.355	,1775810567711838.475	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2366,90.538,1775810567711838.495	,1775810567711929.033	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2367,1.179,1775810567711929.053	,1775810567711930.233	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2368,1.239,1775810567711930.253	,1775810567711931.493	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2369,90.518,1775810567711931.533	,1775810567712022.051	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2370,1.200,1775810567712022.071	,1775810567712023.271	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2371,1.139,1775810567712023.291	,1775810567712024.431	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2372,90.958,1775810567712024.451	,1775810567712115.409	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2373,1.179,1775810567712115.429	,1775810567712116.609	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2374,1.159,1775810567712116.629	,1775810567712117.789	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2375,90.398,1775810567712117.829	,1775810567712208.227	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2376,1.219,1775810567712208.247	,1775810567712209.467	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2377,1.260,1775810567712209.487	,1775810567712210.747	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2378,90.898,1775810567712210.767	,1775810567712301.665	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2379,1.219,1775810567712301.685	,1775810567712302.905	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2380,1.119,1775810567712302.925	,1775810567712304.045	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2381,90.818,1775810567712304.065	,1775810567712394.884	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2382,1.160,1775810567712394.924	,1775810567712396.084	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2383,1.199,1775810567712396.104	,1775810567712397.304	
4,N/A,MEMCPY_ASYNC,47,2384,2.959,1775810567712590.920	,1775810567712593.880	
4,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSA_SQE,47,2385,1581.768,1775810567712607.339	,1775810567714189.108	
4,aclnnInplaceNormal_CastAiCore_Cast,AI_VECTOR_CORE,47,2386,88.978,1775810567714189.128	,1775810567714278.106	
4,aclnnInplaceFillScalar_FillAiCore_Fill,AI_VECTOR_CORE,47,2387,1.559,1775810567714278.146	,1775810567714279.706	
4,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_VECTOR_CORE,47,2388,1.479,1775810567714279.726	,1775810567714281.206	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2389,176.896,1775810567714281.226	,1775810567714458.122	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2390,1.259,1775810567714458.142	,1775810567714459.402	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2391,1.260,1775810567714459.422	,1775810567714460.682	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2392,176.456,1775810567714460.702	,1775810567714637.159	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2393,1.180,1775810567714637.199	,1775810567714638.379	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2394,1.419,1775810567714638.419	,1775810567714639.839	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2395,175.616,1775810567714639.859	,1775810567714815.475	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2396,1.260,1775810567714815.495	,1775810567714816.755	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2397,1.279,1775810567714816.775	,1775810567714818.055	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2398,176.636,1775810567714818.075	,1775810567714994.712	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2399,1.299,1775810567714994.732	,1775810567714996.032	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2400,1.319,1775810567714996.052	,1775810567714997.372	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2401,176.516,1775810567714997.412	,1775810567715173.928	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2402,1.259,1775810567715173.948	,1775810567715175.208	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2403,1.280,1775810567715175.228	,1775810567715176.508	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2404,176.116,1775810567715176.528	,1775810567715352.644	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2405,1.279,1775810567715352.664	,1775810567715353.944	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2406,1.240,1775810567715353.984	,1775810567715355.224	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2407,175.656,1775810567715355.244	,1775810567715530.901	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2408,1.219,1775810567715530.941	,1775810567715532.161	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2409,1.300,1775810567715532.181	,1775810567715533.481	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2410,175.496,1775810567715533.501	,1775810567715708.997	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2411,1.279,1775810567715709.037	,1775810567715710.317	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2412,1.260,1775810567715710.357	,1775810567715711.617	
