Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
4,4294967295,1125,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663458.581	,1.200,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,1044,0.034,0.054,0.275,0.435,0.135,0.213,0.153,0.242,0.0,0.000
4,4294967295,1126,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663459.821	,1.140,0.050000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,1095,0.034,0.051,0.254,0.383,0.125,0.188,0.145,0.218,0.018,0.000
4,4294967295,1127,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663460.981	,47.299,0.110000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.547,2940072,31.827,0.714,11.635,0.261,7.101,0.159,5.543,0.124,0.0,0.000
4,4294967295,1128,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663508.300	,1.060,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586,967,0.034,0.058,0.27,0.461,0.116,0.199,0.148,0.252,0.0,0.000
4,4294967295,1129,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663509.400	,1.200,0.190000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699,1153,0.034,0.049,0.287,0.41,0.124,0.178,0.14,0.2,0.018,0.000
4,4294967295,1130,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663510.620	,47.479,0.000000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.657,2947390,31.827,0.713,11.722,0.262,6.893,0.154,5.572,0.125,0.0,0.000
4,4294967295,1131,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663558.119	,1.080,0.021000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582,960,0.034,0.058,0.269,0.463,0.116,0.199,0.142,0.245,0.0,0.000
4,4294967295,1132,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663559.219	,1.200,0.170000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,1100,0.034,0.051,0.276,0.414,0.115,0.172,0.139,0.209,0.018,0.000
4,4294967295,1133,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663560.459	,46.639,0.050000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.257,2920937,31.827,0.719,11.359,0.257,6.778,0.153,5.606,0.127,0.0,0.000
4,4294967295,1134,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663607.138	,1.120,0.111000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,973,0.034,0.058,0.265,0.45,0.119,0.201,0.141,0.239,0.0,0.000
